Abundances (Grouped): Total Proteins,Abundances (Grouped): No Wash,"Abundances (Normalized): F1: Sample, Total Proteins, Total1, 1","Abundances (Normalized): F2: Sample, Total Proteins, Total1, 2","Abundances (Normalized): F7: Sample, No Wash, MF1, 1","Abundances (Normalized): F8: Sample, No Wash, MF1, 2","Abundance: F1: Sample, Total Proteins, Total1, 1","Abundance: F2: Sample, Total Proteins, Total1, 2","Abundance: F7: Sample, No Wash, MF1, 1","Abundance: F8: Sample, No Wash, MF1, 2"
32,168,3462130.949,3681337.613,17320485.79,20212260.75,1260777.703,1745770.875,16315008.78,20212260.75
93.8,106.2,46038911.62,42554859.39,51053278.01,49181865.89,16765637.73,20180445.78,48089567.98,49181865.89
,200,,,996471.8137,1511619.75,,,938625.3125,1511619.75
45.4,154.6,13316002.72,12483590.49,44267311.05,43456178.31,4849186.692,5919991.859,41697535.34,43456178.31
18.6,181.4,3513442.414,7860806.509,54925334.24,47858329.75,1279463.406,3727766.508,51736846.25,47858329.75
47.5,152.5,2804289.935,6709137.014,14069337.84,13814056.25,1021216.781,3181619.625,13252594.25,13814056.25
,200,,,157805.1731,168080.8594,,,148644.375,168080.8594
132.6,67.4,,3204767.456,1408890.313,1879309.5,,1519770.875,1327102.375,1879309.5
52.5,147.5,9788348.439,5942322.946,23732054.45,19327912.09,3564547.859,2817979.609,22354377.44,19327912.09
84.9,115.1,52880036.72,56307571.42,75096814.86,72793248.67,19256917.84,26702282.86,70737345.85,72793248.67
177.9,22.1,247741982.4,246503577.3,26226839.55,35990136.81,90218299.69,116897391.9,24704336.97,35990136.81
109.1,90.9,39457316.29,36573212.32,30043707.56,33360538.98,14368868.58,17343817.81,28299630.77,33360538.98
,200,,,663280.8918,581854.5,,,624776.5625,581854.5
138.9,61.1,1882076.143,2666081.597,1294667.265,750569.3438,685381.25,1264314.25,1219510.125,750569.3438
,200,,,684877.4107,770742.6875,,,645119.375,770742.6875
,200,,,757509.2204,657223.1875,,,713534.8125,657223.1875
0.3,199.7,,11014.1837,8241755.778,8308756.5,,5223.166992,7763311,8308756.5
34.4,165.6,176331084.3,171580110.2,863343527.8,811319532.9,64213140.03,81367043.9,813225299,811319532.9
34.2,165.8,1005265.694,924593.9303,4650474.017,4692882,366079.9063,438462.6797,4380507.875,4692882
161.4,38.6,2448363.251,1843837.155,542395.5909,474938.0313,891601.6875,874387.9375,510908.8125,474938.0313
28.6,171.4,1712898.75,1398350.399,9099139.003,9431251.875,623773.2148,663128.3672,8570922,9431251.875
,200,,,1326341.496,1314072,,,1249345.625,1314072
133.2,66.8,168823374.5,162511464.2,83659036.34,82491644.81,61479114.87,77066493.48,78802519.09,82491644.81
71.2,128.8,51112872.72,56441722.27,91947618.86,102490975.9,18613383.27,26765900.13,86609938.48,102490975.9
186.8,13.2,486705470.9,489070693.5,34371409.23,34702221.3,177239802.5,231928027.9,32376103.66,34702221.3
165.5,34.5,85267846.95,94744964.12,18405477.7,19025051.38,31051338.56,44930135.81,17337015.48,19025051.38
37.7,162.3,338234712.8,348685335.1,1465058914,1488805864,123172344,165354218.1,1380010315,1488805864
118.5,81.5,23087159.97,23704373.7,15446153.42,16744335.75,8407474.17,11241132.86,14549483.88,16744335.75
36.3,163.7,2390822.464,4055832.268,13761157.9,14314955.19,870647.5,1923364.438,12962304.56,14314955.19
78,122,19050235.18,19228772.88,26931129.07,33236683.3,6937378.197,9118704.986,25367741.56,33236683.3
186,14,6157118.026,5660912.255,387644.7575,509440.0938,2242190.5,2684528.5,365141.4688,509440.0938
181.8,18.2,1209295356,1189700225,122701918.3,117047757.4,440379824.9,564181887.3,115578910.3,117047757.4
184.1,15.9,1435113014,1451702150,122025387,127373757.3,522614111.6,688428935.3,114941652.6,127373757.3
168.9,31.1,56643738.41,59033229.86,9905779.781,11412644.58,20627516.25,27994849.75,9330736.219,11412644.58
79.6,120.4,1942265.582,3069812.863,3517432.595,3871600.039,707299.9766,1455772.453,3313241,3871600.039
153.2,46.8,30819934,25038924.48,8501566.773,8467674.148,11223459.24,11874006.05,8008039.625,8467674.148
187.4,12.6,26587131.45,32892905.73,1650906.682,2395504.25,9682031.969,15598535.88,1555069.375,2395504.25
172.8,27.2,83047679.97,88537852.59,13755906.87,13246006.48,30242837.36,41986587.66,12957358.36,13246006.48
197.5,2.5,99206841.91,105010153.9,1944782.174,889387.3672,36127395.56,49798113.5,1831885.008,889387.3672
190.4,9.6,282313148.8,296922619.5,16055561.79,13409258.87,102807816.5,140807205.4,15123515.28,13409258.87
200,,19313674.84,21257626.96,,,7033313,10080832,,
103,97,15716801.92,15949536.35,14275944.57,15565373.25,5723467.344,7563619.25,13447207.19,15565373.25
185.2,14.8,154577913.5,147770962.2,11388570.17,12750910.3,56291454.48,70076224.77,10727448.67,12750910.3
200,,781457.4566,816492.3887,,,284577.375,387198.5625,,
17.6,182.4,1344199.785,1052441.14,12755299.17,11871135.75,489506.9375,499090.625,12014837.25,11871135.75
162.1,37.9,4461322.386,3695091.393,390432.1307,2307419.188,1624645.594,1752293.219,367767.0313,2307419.188
89.2,110.8,3227319.248,2803661.972,3857247.02,3615455.75,1175268.125,1329557.875,3633328.75,3615455.75
113.9,86.1,35142985.15,32371195.38,20162225.66,32257665.63,12797751.66,15351129.41,18991781.91,32257665.63
35.6,164.4,34570375.55,20820057.45,124347095.3,123228322.9,12589228.81,9873326.961,117128582.7,123228322.9
72,128,26576233.93,28721655.17,49690687.54,48485346.92,9678063.5,13620437.55,46806077.69,48485346.92
92.9,107.1,45312606.6,40280193.09,46480393.94,52205559.69,16501144.79,19101749.23,43782145.86,52205559.69
42.8,157.2,44529107.58,42239211.79,156847015.1,161519873.2,16215823.96,20030758.78,147741839.3,161519873.2
101.8,98.2,23437552.2,12982023.51,14643942.26,19297603.44,8535073.823,6156359.707,13793842.13,19297603.44
116.3,83.7,9681001.439,9010680.135,7473919.362,6049090,3525456.125,4273061.75,7040048.5,6049090
39,161,1733258.028,3288258.831,9641464.593,10049791.88,631187.2969,1559364.313,9081764.875,10049791.88
100.5,99.5,5897816.089,6649456.058,6653064.799,5786225.875,2147762.5,3153317.609,6266845.625,5786225.875
85.5,114.5,32292143.2,32663231.95,43169856.11,43907044.34,11759582.39,15489619.54,40663789.11,43907044.34
69.9,130.1,1141814021,1133635041,2107861285,2130145456,415805664.2,537594550.1,1985497161,2130145456
87.2,112.8,140664133.2,141126042.2,187061529,177903200.7,51224579.71,66925058.24,176202360.9,177903200.7
134.4,65.6,75441708.52,77586714.59,39565734.96,35292547.48,27473029.01,36793318.31,37268891.94,35292547.48
47.1,152.9,9900531.172,11638571,35902584.87,33795814.44,3605400.586,5519265.117,33818392.53,33795814.44
115.1,84.9,21007915,23381413.33,17664262.05,15118219.11,7650291.459,11087977.98,16638828.38,15118219.11
87.3,112.7,241486840.8,224735042.4,301199506.7,300313569.1,87940412.72,106574276.2,283714478.6,300313569.1
68.9,131.1,8030018.403,5154210.534,12302146.29,12195945.41,2924230.281,2444239.453,11587990.5,12195945.41
68.6,131.4,238849844.9,225441789.7,441173990.1,448385646.2,86980118.1,106909431.2,415563259,448385646.2
88.6,111.4,31105582.74,31734234.33,38302624.2,40741749.02,11327481.76,15049068.54,36079106.42,40741749.02
,,,,,,,,,
17.2,182.8,902637.5027,2160933.359,12871727.07,17049158.56,328706.584,1024761.898,12124506.36,17049158.56
89.4,110.6,68381765.24,66364406.76,83290172.53,83309527.98,24902063.55,31471454.3,78455068.32,83309527.98
166.6,33.4,1306995.739,2105173.81,355251.0076,311754.75,475958.625,998319.5,334628.2188,311754.75
125.8,74.2,2761959.827,4347356.797,1859581.665,2244122.25,1005801.75,2061611.75,1751630.5,2244122.25
7,193,67890.42713,27597.96603,1093985.668,1283976.516,24723.13672,13087.55957,1030478.359,1283976.516
133,67,5544921.448,5964000.331,2384411.211,3519164.25,2019251.563,2828259.5,2245993,3519164.25
100,100,214610337.1,158492979.9,183995454.4,185225835.4,78153002.25,75160840.25,173314276,185225835.4
110.9,89.1,18890898.92,12545638.68,13452979.95,11370987.75,6879353.93,5949416.469,12672016.75,11370987.75
8.4,191.6,1416348.326,845530.8786,24881766.19,24805693.83,515780.7188,400969.25,23437346.89,24805693.83
,200,,,369678.0144,457762.4375,,,348217.7188,457762.4375
140.8,59.2,26680230.13,26253251.23,11638931.98,10617047.73,9715935,12449866.38,10963276.65,10617047.73
3.3,196.7,,44025.0546,,2617584.75,,20877.64453,,2617584.75
44.6,155.4,119443.0385,188295.1624,500351.8992,545356.0625,43496.65625,89293.6875,471305.8125,545356.0625
75.8,124.2,8488706.348,7963784.592,13195922.69,13755286.63,3091267.156,3776600.969,12429882,13755286.63
181.4,18.6,3400789.273,3834891.523,365583.0461,375476.625,1238439.375,1818589.5,344360.4688,375476.625
86.1,113.9,92944650.82,88943430.3,121598484,119102221.7,33846941.41,42178921.49,114539531.8,119102221.7
,,,,,,,,,
,,,,,,,,,
93.9,106.1,11461339.6,10667108.51,12741222.41,12253336.44,4173788.234,5058576.344,12001577.66,12253336.44
,200,,,676509.9332,393354.5625,,,637237.6406,393354.5625
85.4,114.6,28861561.59,28842324.35,38362246.36,39074448.62,10510293.77,13677661.52,36135267.44,39074448.62
123.7,76.3,18701144.62,18018923.91,11213401.99,11410526.45,6810252.563,8544968.123,10562449.23,11410526.45
122.2,77.8,4226085.383,6820056.643,3319849.391,3516722.809,1538981.137,3234220.141,3127127.762,3516722.809
180.9,19.1,53510985.2,50658319.59,5702303.444,5283174.5,19486685.52,24023283.98,5371277.219,5283174.5
46.5,153.5,489485077.7,503058159.7,1658829037,1614013298,178252030.6,238561190.5,1562531827,1614013298
189.2,10.8,32321809.53,33559879.64,1363468.12,2589447.75,11770385.75,15914829.5,1284317,2589447.75
33,167,1348511.264,1696003.442,7108025.624,8212821.25,491077.0156,804281.9551,6695395.375,8212821.25
136,64,332399457,304658198.1,152764180.4,146807694.2,121047363.6,144475586,143896018.5,146807694.2
153.7,46.3,18379271.86,20377709.75,5015513.276,6769426.219,6693038.625,9663556,4724356.125,6769426.219
128,72,3530371.934,3437656.063,1819954.904,2108708.5,1285628.5,1630211.75,1714304.125,2108708.5
52.1,147.9,14726977.63,10945617.02,34943609.01,37127428.13,5363010.617,5190651.172,32915086.48,37127428.13
182.6,17.4,58914703.44,66157782.91,6036437.051,5836249.164,21454516.19,31373468.75,5686013.93,5836249.164
,200,,,2891209.471,3375638.563,,,2723370.953,3375638.563
,200,,,1378317.257,1346963.75,,,1298304.125,1346963.75
197.6,2.4,14920829.43,19495302.54,499368.3249,86773.58594,5433604.141,9245099.188,470379.3359,86773.58594
153.8,46.2,762992.0484,785464.3898,275624.5394,196711.6719,277852.9688,372484.4063,259624.1719,196711.6719
147.7,52.3,12063956.19,10664202.24,3534026.253,4561381.938,4393238.5,5057198.125,3328871.375,4561381.938
,200,,,150490.334,140169.0781,,,141754.1719,140169.0781
49.9,150.1,1109064.697,1421021.501,3688904.781,3867541,403879.5938,673879.5,3474759,3867541
28.2,171.8,,83119.22749,469987.9508,546629.25,,39416.95703,442704.5313,546629.25
196.1,3.9,1824099.596,2381864.961,,41554.12891,664268.375,1129532.5,,41554.12891
155.2,44.8,17716268.79,15366050.53,5008060.206,4530948.359,6451597.875,7286917.5,4717335.715,4530948.359
199.7,0.3,11478537.33,11339184,15085.85222,,4180051,5377289.25,14210.09863,
57.6,142.4,7336549.435,10807038.06,21428963.09,22652699.63,2671695,5124934,20184983.56,22652699.63
39.9,160.1,12582050.44,17243370.56,57990959.38,60123958.75,4581908.914,8177183.75,54624507.81,60123958.75
36,164,10594847.4,10494151.96,51087898.62,45027397.84,3858244.406,4976556.563,48122178.82,45027397.84
41.3,158.7,181981503.3,174054855.1,678606492.8,691194992.9,66270809.83,82540622.1,639212492.1,691194992.9
39.6,160.4,,508305.0708,1831238.029,2321162.25,,241049.3906,1724932.25,2321162.25
134.5,65.5,55692650.21,57530808.7,27193102.24,27995157.34,20281165.75,27282368.75,25614506.84,27995157.34
95.6,104.4,3408348.058,4096079.119,3902902.373,4272382,1241192,1942450.375,3676333.75,4272382
84.1,115.9,13866735.62,17560036.07,21429686.26,21579416.53,5049742.875,8327353.465,20185664.75,21579416.53
200,,6303134.636,5262046.229,,,2295364.25,2495377.5,,
175.5,24.5,148266880.8,152534654,21277077.2,20660561.47,53993214.06,72335271.69,20041914.84,20660561.47
152.5,47.5,58074084.7,61625708.79,18554947.32,18757270.41,21148394.5,29224260,17477808.19,18757270.41
151.3,48.7,393647.1126,2450838.837,281468.7902,355050.7344,143351.4531,1162241.422,265129.1563,355050.7344
170.8,29.2,19222305.86,15073385.4,2974499.355,2858138.453,7000039.855,7148129.291,2801825.75,2858138.453
,200,,,4256049.862,4387636.625,,,4008980.563,4387636.625
108.2,91.8,156189591.9,147818072.3,127002386.2,130968091.8,56878367.07,70098565.38,119629730.4,130968091.8
65.7,134.3,2308935.221,3766573.029,5679861.968,6393298,840827.25,1786191.375,5350138.5,6393298
74.5,125.5,1632799.439,1111508.031,2018206.415,2550774,594604.0625,527101.4375,1901046.875,2550774
70.7,129.3,378552.1534,350509.9372,677327.9681,656422.5625,137854.4375,166219.4844,638008.1875,656422.5625
59.6,140.4,1212086.488,892315.676,2818945.93,2132535.5,441396.25,423155.625,2655302.406,2132535.5
146.3,53.7,41455336.64,42758861,14795521.75,16115949.3,15096472.34,20277187.81,13936622.23,16115949.3
57.4,142.6,9384877.926,59453008.08,60146566.81,57355135.38,3417619.094,28193917.77,56654979.39,57355135.38
170.7,29.3,196720172.2,209490183.6,25415249.85,47721096.32,71638077.97,99344830.5,23939861.12,47721096.32
170.7,29.3,132921776.2,130724508.1,22094466.31,23210884.23,48405104.88,61992423.13,20811853.44,23210884.23
,,,,,,,,,
132.4,67.6,68455334.66,70965614.16,37676576.85,33650729.19,24928854.77,33653447.57,35489401.94,33650729.19
164.6,35.4,20184908.5,22976042.87,4880307.314,4388416.188,7350583.484,10895742.44,4596999.047,4388416.188
108.1,91.9,18447910.55,21914928.17,16398538.51,17821205.5,6718034.25,10392538.63,15446581.75,17821205.5
139.1,60.9,38752741.27,35267704.09,16638337,15775526.4,14112288.89,16724717.24,15672459.62,15775526.4
124.4,75.6,6328423.108,6695542.458,3760628.268,4164208.844,2304573.359,3175172.789,3542318.844,4164208.844
200,,1146856.136,2076023.295,,,417641.8125,984495.6875,,
83.4,116.6,13755439.34,11933848.06,16739973.51,19175474.25,5009212.96,5659291.965,15768196,19175474.25
113.4,86.6,15425541.83,22755576.04,13453887.17,15211578.27,5617401.389,10791192.24,12672871.3,15211578.27
116.3,83.7,41021446.89,40826470.11,29771298.73,29137766.27,14938466.04,19360805.76,28043035.63,29137766.27
138.5,61.5,17132387.92,16915822.94,9126362.031,6266996.68,6238970.453,8021853.5,8596564.695,6266996.68
190,10,3905518.734,4923358.388,222979.5246,238997.0078,1422242.836,2334764.313,210035.2695,238997.0078
34.6,165.4,16543230.27,14870613.5,76273836.41,73692740.44,6024421.426,7051970.418,71846039.75,73692740.44
24.4,175.6,655467.7263,628199.4174,5032568.346,4225552.281,238696.6602,297905.9141,4740421.125,4225552.281
6.3,193.7,245077.1207,149351.8781,5402292.707,6417165.969,89247.85742,70825.92969,5088682.5,6417165.969
,200,,,875262.1105,846909.5391,,,824451.9922,846909.5391
,200,,,3548589.547,3203780.938,,,3342589.25,3203780.938
36.5,163.5,7520484.723,5786240.873,28490083.76,30657394.38,2738677.305,2743962.074,26836196.88,30657394.38
46.2,153.8,3750093.31,2909304.238,10319812.6,11696609.33,1365642.75,1379655.75,9720733.891,11696609.33
28.3,171.7,2916911.948,2546845.261,16745813.23,16276085.61,1062229.477,1207769.77,15773696.72,16276085.61
103.1,96.9,7549212.488,8229668.697,5188868.544,10573408.59,2749138.875,3902689.031,4887647.891,10573408.59
63.5,136.5,27619253.92,24662845.67,53975652.6,58181037.17,10057892.1,11695661.25,50842294.88,58181037.17
,200,,,3872831.998,3561695.25,,,3648009,3561695.25
112.2,87.8,13518572.65,12695468.33,9802871.143,10727687.2,4922955.031,6020468.969,9233801.563,10727687.2
70.2,129.8,31601762.15,29765711.28,55499435.07,57863593.31,11508171.61,14115551.82,52277619.77,57863593.31
116.1,83.9,3090955.099,3425016.41,2342774.754,2356815.125,1125609.438,1624217.75,2206773.594,2356815.125
1.2,198.8,,28703.88128,4777549.809,4763285.25,,13612.00879,4500206.75,4763285.25
147.6,52.4,46534057.34,38694114.33,16101919.29,14122891.92,16945951.15,18349595.97,15167181.67,14122891.92
136.1,63.9,25101038.62,24746693.16,13534136.45,10095118.63,9140852.926,11735423.56,12748462,10095118.63
110.2,89.8,413577.9987,,337030.2034,,150609.5313,,317465.1563,
117.8,82.2,24452035,25797175.69,16779234.41,18303232.92,8904510.25,12233585.38,15805177.75,18303232.92
20.2,179.8,7152180.695,8897112.83,69744408.36,72268710.39,2604554.849,4219205.648,65695653.6,72268710.39
51.8,148.2,82349373.26,100470928.1,266791660.2,254329474.9,29988540.36,47645513.24,251304053,254329474.9
56.5,143.5,1128553.001,1191218.475,3180719.719,2729050.75,410976.5,564901.875,2996074.75,2729050.75
148.5,51.5,11774221.05,4199165.883,2621994.649,2270467.125,4287727.875,1991336.375,2469784.406,2270467.125
196.7,3.3,8618800.886,8921460.56,183531.4121,115276.9609,3138642.688,4230751.875,172877.1719,115276.9609
117,83,953266.2205,1599269.679,789201.897,971350.9063,347143.6563,758408.6875,743387.6875,971350.9063
37,163,7381603.689,13857712.8,43561913.05,45645519.78,2688102.063,6571630.734,41033086.63,45645519.78
116.1,83.9,3828064.374,3231689.584,2042800.178,3163769.688,1394036.875,1532537.938,1924212.938,3163769.688
187,13,6883460.297,7184286.687,,489888.0938,2506697,3406946,,489888.0938
55.6,144.4,814930.8361,1040344.968,2389336.444,2391818.5,296767.1191,493354.3555,2250632.316,2391818.5
43,157,230416.4684,172897.3895,675100.6706,786114.9375,83909,81991.72656,635910.1875,786114.9375
77.2,122.8,9945868.203,8423260.76,13476739.46,15745341.5,3621910.625,3994494.625,12694396.98,15745341.5
,200,,,1149029.289,1249893.25,,,1082326.625,1249893.25
121,79,9234551.082,8379565.432,4009062.333,8218672.813,3362875.719,3973773.344,3776330.984,8218672.813
17.1,182.9,1112544.494,1329960.193,13025552.34,12939740.56,405146.8047,630696.2344,12269401.88,12939740.56
,200,,,911616.4081,1285337,,,858695.875,1285337
77.4,122.6,2787269.607,2158137.48,4335495.837,3487480.031,1015018.619,1023436.031,4083814.594,3487480.031
101.1,98.9,6724549.026,5418427.138,5577987.854,6239212.625,2448827.5,2569536.75,5254178.313,6239212.625
,,,,,,,,,
179.5,20.5,2483880.893,1011800.75,,180807.2344,904535.875,479818.0625,,180807.2344
53.7,146.3,78366905.29,76323537.21,206882911.6,214445129.8,28538275.51,36194291.95,194873086.1,214445129.8
168.9,31.1,10516607.82,,1769310.691,2127370.5,3829752.5,,1666599.875,2127370.5
43.5,156.5,1125712.063,,3943661.096,4164975.625,409941.9375,,3714726.375,4164975.625
1.1,198.9,69059.67193,152673.4624,16857662.54,20618191.06,25148.93164,72401.09766,15879053.03,20618191.06
,200,,,3689688.794,4448296,,,3475497.5,4448296
177.5,22.5,40695822.83,38818346.04,4842012.417,5240582.938,14819886.02,18408509.37,4560927.219,5240582.938
108.5,91.5,54158902.67,54679258.22,44518080.65,47237646.78,19722632.66,25930101.09,41933747.44,47237646.78
185.4,14.6,732609.4791,693534.1909,68048.76579,46572.61719,266788.7813,328889.0938,64098.44531,46572.61719
67.3,132.7,7169462.123,4610207.248,10463780.89,12292136.75,2610848.094,2186261.188,9856344.625,12292136.75
,200,,,1212305.178,1210350.688,,,1141929.266,1210350.688
158.6,41.4,2520027.633,3651050.499,908608.5147,690279.875,917699.1563,1731408.063,855862.5938,690279.875
97.5,102.5,8379332.694,7730932.097,7993046.104,8949869.5,3051437.391,3666177.219,7529039.25,8949869.5
112.7,87.3,14113433.29,6702389.382,6748632.771,8408769.219,5139580.875,3178419.75,6356865.75,8408769.219
143.5,56.5,55335869.09,50855968.27,22426014.53,19469220.92,20151239.5,24117013.31,21124154.85,19469220.92
144.3,55.7,189312585.5,195652834.5,72648725.43,75803599.89,68940513.89,92782856.66,68431371.23,75803599.89
119.5,80.5,5071276.403,5186144.524,3064836.283,3890616,1846767.875,2459383.25,2886918.5,3890616
196.3,3.7,31220393.47,35598917.74,1610270.213,245757.0938,11369291.5,16881786,1516791.906,245757.0938
89.4,110.6,26840399.66,21729807.55,32507826.25,27475274.91,9774262.711,10304750.38,30620704.13,27475274.91
,200,,,982316.3185,1110524.75,,,925291.5625,1110524.75
37,163,695428.8599,1755650.259,4678256.979,5050330.5,253249,832567.7813,4406678,5050330.5
127.6,72.4,24366066.75,22773423.05,13501682.37,13222634.05,8873203.852,10799655.69,12717891.93,13222634.05
4.7,195.3,99503.77481,129012.0127,4919905.759,4463775.25,36235.52734,61180.32031,4634298.75,4463775.25
81.6,118.4,6639776.196,9313663.92,10841627.29,11988340.47,2417956.428,4416743.293,10212256.55,11988340.47
13,187,196134.2603,,2231608.633,3538787,71424.71094,,2102060.813,3538787
85.1,114.9,1812402.552,2111975.553,2505194.264,2784998.531,660008.752,1001545.035,2359764.438,2784998.531
94,106,5938775.843,5066161.66,5868147.072,6523102.531,2162678.5,2402484.75,5527493.406,6523102.531
129.5,70.5,24503552.2,25256742.3,14137501.59,12975074.5,8923270.875,11977300.03,13316801,12975074.5
36.5,163.5,4113740.666,1336022.239,9909135.823,11151812.75,1498069.422,633570.9893,9333897.438,11151812.75
25.4,174.6,5794671.156,4095948.164,33905979.95,33114951.38,2110201,1942388.273,31937693.16,33114951.38
114.8,85.2,92484631.47,98111992.9,71606213.09,69716709.82,33679419.69,46526854.55,67449378.11,69716709.82
90.3,109.7,,2144191.674,3194343.603,2120324,,1016822.625,3008907.75,2120324
46.2,153.8,26800160.94,28904109.88,90997509.82,94136070.64,9759609.285,13706961.57,85714984.53,94136070.64
25.2,174.8,6648994.934,5819294.172,40858565.17,45656738.25,2421313.545,2759636.672,38486671.65,45656738.25
,200,,,544995.5202,545513,,,513357.8125,545513
79,121,5089215.003,5784333.592,8773156.111,7858939.563,1853300.438,2743057.6,8263862.844,7858939.563
122.1,77.9,2325119.753,2157978.568,1243724.116,1643630.234,846721.0469,1023360.672,1171524.293,1643630.234
,200,,,1624060.74,2065028.875,,,1529781.875,2065028.875
134.3,65.7,2574273.958,3350637.989,1325885.261,1556844.375,937453.625,1588945.875,1248915.875,1556844.375
114.5,85.5,28403103.17,22555738.68,17591044.62,20320572.16,10343340.48,10696424.99,16569861.31,20320572.16
80.5,119.5,76995519.46,76954495.39,112524226.3,115948765.7,28038868.43,36493506.13,105992046.7,115948765.7
91.7,108.3,18315812.01,15888989.21,17910979.35,22708387.63,6669928.938,7534906.469,16871223.41,22708387.63
139.9,60.1,56855971.28,58175764.77,25518186.81,23946153.94,20704803.47,27588221.03,24036822.46,23946153.94
123.7,76.3,11737402.27,10904045.66,6841552.16,7105476.039,4274319.859,5170937.125,6444391.047,7105476.039
,200,,,294280.4953,442809.3125,,,277197.125,442809.3125
158.4,41.6,34903577.19,33763426.45,9028619.055,9010927.156,12710568.3,16011355.85,8504495.828,9010927.156
51.8,148.2,26860067.51,23816990.05,67035821.74,77974480,9781425,11294538,63144304,77974480
177.7,22.3,14342837.68,15097934.08,2486386.752,1365154.414,5223121.313,7159770.813,2342048.727,1365154.414
191.4,8.6,12328712.25,14160603.74,658055.4878,530151.5,4489652.688,6715268.25,619854.5,530151.5
85.5,114.5,72917292.55,75949244.41,100519351.8,98858651.66,26553731.79,36016794.11,94684071,98858651.66
12.9,187.1,443130.4953,599267.0718,7101021.792,7856494.5,161371.4375,284185.5625,6688798.125,7856494.5
,200,,,279038.4893,234926.5938,,,262839.9375,234926.5938
,200,,,1030205.008,1178293.125,,,970400.25,1178293.125
,200,,,1409212.053,297725.6504,,,1327405.438,297725.6504
4.9,195.1,228222.7567,304837.4965,10245078.02,10959125.34,83110.13281,144560.6133,9650337.75,10959125.34
47.2,152.8,10485293.81,8697906.867,24620279.65,38884380.59,3818349.117,4124737.82,23191039.99,38884380.59
42,158,465297.8068,2272056.792,4254350.924,3514568.5,169443.9375,1077459.063,4007380.25,3514568.5
67.7,132.3,13518354.3,15163221.49,28139446.89,27851361.94,4922875.516,7190731.531,26505914.94,27851361.94
,200,,,1589410.896,2019097.75,,,1497143.5,2019097.75
12.4,187.6,365757.5076,870903.1653,8610051.584,8426090.875,133195.1094,413001.3438,8110226.75,8426090.875
168,32,14000405.06,14174621.44,2593481.12,2766129,5098420.25,6721915.75,2442926.125,2766129
132.7,67.3,1837731.566,2133769.733,1263804.699,797761.3438,669232.625,1011880.313,1190439.172,797761.3438
129.5,70.5,49207280.96,47133355.56,24416598.22,28166929.2,17919438.52,22351668.88,22999182.54,28166929.2
,200,,,934920.0927,929360.875,,,880646.75,929360.875
130.1,69.9,104888948.4,118274474.7,62560029.12,57307125.63,38196604.75,56088344.75,58928337.03,57307125.63
200,,768766.7738,673068.2967,,,279955.9063,319183.7188,,
32.6,167.4,64704367.21,58809933.68,338961948.8,296142568.1,23562893.69,27888957.81,319284761.3,296142568.1
191.3,8.7,91836267.64,55167387.58,2636328,3953282.438,33443310,26161582.72,2483285.688,3953282.438
71,129,9665254.813,8750839.35,15797768.05,17637252.88,3519721.797,4149839.563,14880686.81,17637252.88
17.2,182.8,294834.0818,713938.7346,4353192.329,5473985.219,107367.4688,338565.375,4100483.781,5473985.219
37.7,162.3,133119.9531,105237.3595,391876.1783,663197.4375,48477.27344,49905.85938,369127.25,663197.4375
153.4,46.6,2473693.987,2512709.301,775268.0667,740842.8516,900826.1875,1191581.75,730262.7344,740842.8516
134.5,65.5,3573080.222,3417649.869,1745418.731,1656587.188,1301181.25,1620724.375,1644094.875,1656587.188
48.6,151.4,39276383.14,36615092.08,113945727.5,122755881.4,14302979.54,17363678.11,107331027.9,122755881.4
101.5,98.5,1719001.894,2083843.079,1641524.868,2057531.938,625995.75,988204,1546232.188,2057531.938
171.9,28.1,43845312.39,41809304.58,6788451.968,7229238.875,15966811.5,19826887.38,6394373.391,7229238.875
90.3,109.7,8641324.018,10018053.4,10928522.98,11700331.19,3146844.764,4750780.203,10294107.83,11700331.19
38,162,3983992.3,3001037.544,14045292.41,15460274.5,1450819.953,1423157.691,13229944.69,15460274.5
171.4,28.6,593571.385,1058381.002,146955.01,118894.9375,216156.3438,501907.4375,138424.0781,118894.9375
,200,,,2263304.196,2546850.156,,,2131916.406,2546850.156
142.8,57.2,20903965.6,19428525.12,9026862.905,7201443.813,7612437,9213431.875,8502841.625,7201443.813
66.4,133.6,28600493.66,22089041.31,50645028.35,50612495.45,10415222.66,10475106.88,47705017.75,50612495.45
110.6,89.4,44030683.35,39707792.55,32681933.07,34887664.56,16034316.62,18830304.37,30784703.81,34887664.56
96.8,103.2,35405291.44,39813916.87,37395291.15,42859651.09,12893273.73,18880630.84,35224445.25,42859651.09
184.2,15.8,7102414.158,9386961.005,656431.2452,752397.0313,2586431.75,4451502.375,618324.5469,752397.0313
163,37,1999180.853,3256125.864,573454.6865,584723.6875,728026.375,1544126.156,540164.8867,584723.6875
47.9,152.1,283245290.2,295568650,881962600.1,955294457,103147267.3,140165123.4,830763509.6,955294457
16,184,246612.5526,345421.3548,3313366.674,3392735.75,89807.00391,163806.3672,3121021.375,3392735.75
155.4,44.6,651070573.3,629889448.3,183946158.3,183563915.6,237095382.6,298707363.7,173267841.6,183563915.6
39.6,160.4,200414688.7,204853092.9,885352413,762930385.7,72983481.75,97145820.6,833956539.4,762930385.7
121,79,196525666.3,192371492.8,121745686.1,132533044.3,71567246.23,91226772.6,114678188.7,132533044.3
