"Abundance: F1: Sample, Total Proteins, Total1, 1","Abundance: F2: Sample, Total Proteins, Total1, 2","Abundance: F7: Sample, No Wash, MF1, 1","Abundance: F8: Sample, No Wash, MF1, 2"
6136490.125,9464190.25,799833.1875,910815.7344
116631715.3,147807103.5,89569005.92,94374217.72
6791615.375,7957209.719,10340105.38,10119276.13
19414513.69,28984885.25,21324309.91,23234360.22
16563864.64,21328497.3,183061882.9,201184206.3
1156005448,1499379906,571549773.4,607409821.1
31218752.08,37944463.7,18311716.06,23680504.48
1249170.496,1945864.824,2084789.656,2741154.547
635864,1229429.375,625232.7656,708551.5469
147543.5313,218481.5781,822784.625,1256518.875
1495476.902,1986650.063,52208255.97,61489142.22
72820.3125,118538.8672,278888.5938,328323.2813
4942254.313,8215277,4714460.625,4801667.75
,,,
18434102.25,13360118.5,93230.56055,73233.51563
24278990.69,32739397.69,61978294.06,62336032.34
51315092.59,66468263.94,304195659,327709454.1
34880253.56,45756102.2,15935744.51,16743379.84
1893700.563,2239678.5,8454601.625,8158491.5
19804480.31,24094154.07,149238749.3,165469873.4
1344490.961,8540466.344,15066392.61,16449335.22
,,4794357.688,5294505.688
482253.2188,914799.6875,6553061.125,7315403
74693.81445,24593.5332,5607347.141,6653678.781
195801.75,1327324.656,6212866.703,5916703.078
126200,,2721457.5,3608256.5
8325044,9823297.25,318636.9063,317371.6875
3130931.25,4323447.5,16452751.25,19496478.13
,,1326716.25,1652059.375
521308.4688,531492.75,3801603.625,5529544
3459497.406,3254085.438,600580.5,716224.9688
10059051.69,10631803.28,15218023.13,21543824.13
12887937.09,16147941.23,6893095.406,8700948.266
68748371.16,87383010.91,51972598.73,52075158.23
34908818.05,42518793.3,30396865.36,31673735.57
8033636.5,9290965,5140520.875,6709419.063
3844306.813,4968826.844,12900103.16,13457794.25
206526.5781,325400.375,3949473.25,4201835.172
1232502.75,1673649.375,7755703,8279131.5
5266167,6507397,17563564,14509022
7445010.188,10689780.44,70762944.38,77764968.56
2691006.34,2300158.648,30244623.59,27977915.83
,,4407277.359,3890799.406
1260777.703,1745770.875,16315008.78,20212260.75
16765637.73,20180445.78,48089567.98,49181865.89
,,938625.3125,1511619.75
4849186.692,5919991.859,41697535.34,43456178.31
1279463.406,3727766.508,51736846.25,47858329.75
1021216.781,3181619.625,13252594.25,13814056.25
,,148644.375,168080.8594
,1519770.875,1327102.375,1879309.5
3564547.859,2817979.609,22354377.44,19327912.09
19256917.84,26702282.86,70737345.85,72793248.67
90218299.69,116897391.9,24704336.97,35990136.81
14368868.58,17343817.81,28299630.77,33360538.98
,,624776.5625,581854.5
685381.25,1264314.25,1219510.125,750569.3438
,,645119.375,770742.6875
,,713534.8125,657223.1875
,5223.166992,7763311,8308756.5
64213140.03,81367043.9,813225299,811319532.9
366079.9063,438462.6797,4380507.875,4692882
891601.6875,874387.9375,510908.8125,474938.0313
623773.2148,663128.3672,8570922,9431251.875
,,1249345.625,1314072
61479114.87,77066493.48,78802519.09,82491644.81
18613383.27,26765900.13,86609938.48,102490975.9
177239802.5,231928027.9,32376103.66,34702221.3
31051338.56,44930135.81,17337015.48,19025051.38
123172344,165354218.1,1380010315,1488805864
8407474.17,11241132.86,14549483.88,16744335.75
870647.5,1923364.438,12962304.56,14314955.19
6937378.197,9118704.986,25367741.56,33236683.3
2242190.5,2684528.5,365141.4688,509440.0938
440379824.9,564181887.3,115578910.3,117047757.4
522614111.6,688428935.3,114941652.6,127373757.3
20627516.25,27994849.75,9330736.219,11412644.58
707299.9766,1455772.453,3313241,3871600.039
11223459.24,11874006.05,8008039.625,8467674.148
9682031.969,15598535.88,1555069.375,2395504.25
30242837.36,41986587.66,12957358.36,13246006.48
36127395.56,49798113.5,1831885.008,889387.3672
102807816.5,140807205.4,15123515.28,13409258.87
7033313,10080832,,
5723467.344,7563619.25,13447207.19,15565373.25
56291454.48,70076224.77,10727448.67,12750910.3
284577.375,387198.5625,,
489506.9375,499090.625,12014837.25,11871135.75
1624645.594,1752293.219,367767.0313,2307419.188
1175268.125,1329557.875,3633328.75,3615455.75
12797751.66,15351129.41,18991781.91,32257665.63
12589228.81,9873326.961,117128582.7,123228322.9
9678063.5,13620437.55,46806077.69,48485346.92
16501144.79,19101749.23,43782145.86,52205559.69
16215823.96,20030758.78,147741839.3,161519873.2
8535073.823,6156359.707,13793842.13,19297603.44
3525456.125,4273061.75,7040048.5,6049090
631187.2969,1559364.313,9081764.875,10049791.88
2147762.5,3153317.609,6266845.625,5786225.875
11759582.39,15489619.54,40663789.11,43907044.34
415805664.2,537594550.1,1985497161,2130145456
51224579.71,66925058.24,176202360.9,177903200.7
27473029.01,36793318.31,37268891.94,35292547.48
3605400.586,5519265.117,33818392.53,33795814.44
7650291.459,11087977.98,16638828.38,15118219.11
87940412.72,106574276.2,283714478.6,300313569.1
2924230.281,2444239.453,11587990.5,12195945.41
86980118.1,106909431.2,415563259,448385646.2
11327481.76,15049068.54,36079106.42,40741749.02
,,,
328706.584,1024761.898,12124506.36,17049158.56
24902063.55,31471454.3,78455068.32,83309527.98
475958.625,998319.5,334628.2188,311754.75
1005801.75,2061611.75,1751630.5,2244122.25
24723.13672,13087.55957,1030478.359,1283976.516
2019251.563,2828259.5,2245993,3519164.25
78153002.25,75160840.25,173314276,185225835.4
6879353.93,5949416.469,12672016.75,11370987.75
515780.7188,400969.25,23437346.89,24805693.83
,,348217.7188,457762.4375
9715935,12449866.38,10963276.65,10617047.73
,20877.64453,,2617584.75
43496.65625,89293.6875,471305.8125,545356.0625
3091267.156,3776600.969,12429882,13755286.63
1238439.375,1818589.5,344360.4688,375476.625
33846941.41,42178921.49,114539531.8,119102221.7
,,,
,,,
4173788.234,5058576.344,12001577.66,12253336.44
,,637237.6406,393354.5625
10510293.77,13677661.52,36135267.44,39074448.62
6810252.563,8544968.123,10562449.23,11410526.45
1538981.137,3234220.141,3127127.762,3516722.809
19486685.52,24023283.98,5371277.219,5283174.5
178252030.6,238561190.5,1562531827,1614013298
11770385.75,15914829.5,1284317,2589447.75
491077.0156,804281.9551,6695395.375,8212821.25
121047363.6,144475586,143896018.5,146807694.2
6693038.625,9663556,4724356.125,6769426.219
1285628.5,1630211.75,1714304.125,2108708.5
5363010.617,5190651.172,32915086.48,37127428.13
21454516.19,31373468.75,5686013.93,5836249.164
,,2723370.953,3375638.563
,,1298304.125,1346963.75
5433604.141,9245099.188,470379.3359,86773.58594
277852.9688,372484.4063,259624.1719,196711.6719
4393238.5,5057198.125,3328871.375,4561381.938
,,141754.1719,140169.0781
403879.5938,673879.5,3474759,3867541
,39416.95703,442704.5313,546629.25
664268.375,1129532.5,,41554.12891
6451597.875,7286917.5,4717335.715,4530948.359
4180051,5377289.25,14210.09863,
2671695,5124934,20184983.56,22652699.63
4581908.914,8177183.75,54624507.81,60123958.75
3858244.406,4976556.563,48122178.82,45027397.84
66270809.83,82540622.1,639212492.1,691194992.9
,241049.3906,1724932.25,2321162.25
20281165.75,27282368.75,25614506.84,27995157.34
1241192,1942450.375,3676333.75,4272382
5049742.875,8327353.465,20185664.75,21579416.53
2295364.25,2495377.5,,
53993214.06,72335271.69,20041914.84,20660561.47
21148394.5,29224260,17477808.19,18757270.41
143351.4531,1162241.422,265129.1563,355050.7344
7000039.855,7148129.291,2801825.75,2858138.453
,,4008980.563,4387636.625
56878367.07,70098565.38,119629730.4,130968091.8
840827.25,1786191.375,5350138.5,6393298
594604.0625,527101.4375,1901046.875,2550774
137854.4375,166219.4844,638008.1875,656422.5625
441396.25,423155.625,2655302.406,2132535.5
15096472.34,20277187.81,13936622.23,16115949.3
3417619.094,28193917.77,56654979.39,57355135.38
71638077.97,99344830.5,23939861.12,47721096.32
48405104.88,61992423.13,20811853.44,23210884.23
,,,
24928854.77,33653447.57,35489401.94,33650729.19
7350583.484,10895742.44,4596999.047,4388416.188
6718034.25,10392538.63,15446581.75,17821205.5
14112288.89,16724717.24,15672459.62,15775526.4
2304573.359,3175172.789,3542318.844,4164208.844
417641.8125,984495.6875,,
5009212.96,5659291.965,15768196,19175474.25
5617401.389,10791192.24,12672871.3,15211578.27
14938466.04,19360805.76,28043035.63,29137766.27
6238970.453,8021853.5,8596564.695,6266996.68
1422242.836,2334764.313,210035.2695,238997.0078
6024421.426,7051970.418,71846039.75,73692740.44
238696.6602,297905.9141,4740421.125,4225552.281
89247.85742,70825.92969,5088682.5,6417165.969
,,824451.9922,846909.5391
,,3342589.25,3203780.938
2738677.305,2743962.074,26836196.88,30657394.38
1365642.75,1379655.75,9720733.891,11696609.33
1062229.477,1207769.77,15773696.72,16276085.61
2749138.875,3902689.031,4887647.891,10573408.59
10057892.1,11695661.25,50842294.88,58181037.17
,,3648009,3561695.25
4922955.031,6020468.969,9233801.563,10727687.2
11508171.61,14115551.82,52277619.77,57863593.31
1125609.438,1624217.75,2206773.594,2356815.125
,13612.00879,4500206.75,4763285.25
16945951.15,18349595.97,15167181.67,14122891.92
9140852.926,11735423.56,12748462,10095118.63
150609.5313,,317465.1563,
8904510.25,12233585.38,15805177.75,18303232.92
2604554.849,4219205.648,65695653.6,72268710.39
29988540.36,47645513.24,251304053,254329474.9
410976.5,564901.875,2996074.75,2729050.75
4287727.875,1991336.375,2469784.406,2270467.125
3138642.688,4230751.875,172877.1719,115276.9609
347143.6563,758408.6875,743387.6875,971350.9063
2688102.063,6571630.734,41033086.63,45645519.78
1394036.875,1532537.938,1924212.938,3163769.688
2506697,3406946,,489888.0938
296767.1191,493354.3555,2250632.316,2391818.5
83909,81991.72656,635910.1875,786114.9375
3621910.625,3994494.625,12694396.98,15745341.5
,,1082326.625,1249893.25
3362875.719,3973773.344,3776330.984,8218672.813
405146.8047,630696.2344,12269401.88,12939740.56
,,858695.875,1285337
1015018.619,1023436.031,4083814.594,3487480.031
2448827.5,2569536.75,5254178.313,6239212.625
,,,
904535.875,479818.0625,,180807.2344
28538275.51,36194291.95,194873086.1,214445129.8
3829752.5,,1666599.875,2127370.5
409941.9375,,3714726.375,4164975.625
25148.93164,72401.09766,15879053.03,20618191.06
,,3475497.5,4448296
14819886.02,18408509.37,4560927.219,5240582.938
19722632.66,25930101.09,41933747.44,47237646.78
266788.7813,328889.0938,64098.44531,46572.61719
2610848.094,2186261.188,9856344.625,12292136.75
,,1141929.266,1210350.688
917699.1563,1731408.063,855862.5938,690279.875
3051437.391,3666177.219,7529039.25,8949869.5
5139580.875,3178419.75,6356865.75,8408769.219
20151239.5,24117013.31,21124154.85,19469220.92
68940513.89,92782856.66,68431371.23,75803599.89
1846767.875,2459383.25,2886918.5,3890616
11369291.5,16881786,1516791.906,245757.0938
9774262.711,10304750.38,30620704.13,27475274.91
,,925291.5625,1110524.75
253249,832567.7813,4406678,5050330.5
8873203.852,10799655.69,12717891.93,13222634.05
36235.52734,61180.32031,4634298.75,4463775.25
2417956.428,4416743.293,10212256.55,11988340.47
71424.71094,,2102060.813,3538787
660008.752,1001545.035,2359764.438,2784998.531
2162678.5,2402484.75,5527493.406,6523102.531
8923270.875,11977300.03,13316801,12975074.5
1498069.422,633570.9893,9333897.438,11151812.75
2110201,1942388.273,31937693.16,33114951.38
33679419.69,46526854.55,67449378.11,69716709.82
,1016822.625,3008907.75,2120324
9759609.285,13706961.57,85714984.53,94136070.64
2421313.545,2759636.672,38486671.65,45656738.25
,,513357.8125,545513
1853300.438,2743057.6,8263862.844,7858939.563
846721.0469,1023360.672,1171524.293,1643630.234
,,1529781.875,2065028.875
937453.625,1588945.875,1248915.875,1556844.375
10343340.48,10696424.99,16569861.31,20320572.16
28038868.43,36493506.13,105992046.7,115948765.7
6669928.938,7534906.469,16871223.41,22708387.63
20704803.47,27588221.03,24036822.46,23946153.94
4274319.859,5170937.125,6444391.047,7105476.039
,,277197.125,442809.3125
12710568.3,16011355.85,8504495.828,9010927.156
9781425,11294538,63144304,77974480
5223121.313,7159770.813,2342048.727,1365154.414
4489652.688,6715268.25,619854.5,530151.5
26553731.79,36016794.11,94684071,98858651.66
161371.4375,284185.5625,6688798.125,7856494.5
,,262839.9375,234926.5938
,,970400.25,1178293.125
,,1327405.438,297725.6504
83110.13281,144560.6133,9650337.75,10959125.34
3818349.117,4124737.82,23191039.99,38884380.59
169443.9375,1077459.063,4007380.25,3514568.5
4922875.516,7190731.531,26505914.94,27851361.94
,,1497143.5,2019097.75
133195.1094,413001.3438,8110226.75,8426090.875
5098420.25,6721915.75,2442926.125,2766129
669232.625,1011880.313,1190439.172,797761.3438
17919438.52,22351668.88,22999182.54,28166929.2
,,880646.75,929360.875
38196604.75,56088344.75,58928337.03,57307125.63
279955.9063,319183.7188,,
23562893.69,27888957.81,319284761.3,296142568.1
33443310,26161582.72,2483285.688,3953282.438
3519721.797,4149839.563,14880686.81,17637252.88
107367.4688,338565.375,4100483.781,5473985.219
48477.27344,49905.85938,369127.25,663197.4375
900826.1875,1191581.75,730262.7344,740842.8516
1301181.25,1620724.375,1644094.875,1656587.188
14302979.54,17363678.11,107331027.9,122755881.4
625995.75,988204,1546232.188,2057531.938
15966811.5,19826887.38,6394373.391,7229238.875
3146844.764,4750780.203,10294107.83,11700331.19
1450819.953,1423157.691,13229944.69,15460274.5
216156.3438,501907.4375,138424.0781,118894.9375
,,2131916.406,2546850.156
7612437,9213431.875,8502841.625,7201443.813
10415222.66,10475106.88,47705017.75,50612495.45
16034316.62,18830304.37,30784703.81,34887664.56
12893273.73,18880630.84,35224445.25,42859651.09
2586431.75,4451502.375,618324.5469,752397.0313
728026.375,1544126.156,540164.8867,584723.6875
103147267.3,140165123.4,830763509.6,955294457
89807.00391,163806.3672,3121021.375,3392735.75
237095382.6,298707363.7,173267841.6,183563915.6
72983481.75,97145820.6,833956539.4,762930385.7
71567246.23,91226772.6,114678188.7,132533044.3
576031.6719,895951.5313,2778766.438,2480756.969
12488811.17,13980119.85,102975946.8,107170801.6
1126185.051,1546157.656,9156862.297,9684109.133
,,,
139391.7734,101796.8281,3207738.75,3983204.063
1649659.266,3233899.539,3474983.875,3601386
3573205.309,4133373.652,8740411.102,8991874
118583279,140354402.8,85533230.98,90415106.14
120377.0938,261639.7031,4625443.219,6404360.625
655022,968841.125,1041241.75,1008059.313
4528552.938,4949697.125,20773296.5,22963618.75
539474.125,620808.9375,1120085.875,1878244.875
1478782.875,1536941.625,2083318.031,2126500.5
179766.1406,353710.5313,2342503.531,2493940.555
58993187.57,79388411.33,194560435.2,224358412.8
3117006.313,3392109.625,213532.7344,274479.3789
13995.93359,,11757957.63,14437530.75
675845.125,1102479.375,14658.2334,
36819.61719,57946.1875,2652499.5,3530491
8243416.313,9314982.5,2912629.047,3913769.641
4981730.547,2008736.014,21159129.91,25222404.56
,44430.19922,4250245.813,3918334.5
13138859.88,15865032.75,10276192.94,10777070.5
233364339.6,308821776.5,224198848.1,226215310.3
17759044.75,24594376.53,84226485.27,86201577.56
47663610.08,60857049.34,169510262,178223946.6
11708682.03,15921883.18,57530958.51,66159058.89
99644.65625,,632452.375,747621.375
1085532.25,,1882094.875,2061868.125
775425.1406,138947.3594,1492227.375,5269784.563
3757303.158,5142205.063,4360007.406,4602814.406
569190.5938,677558.9844,2815904.063,3311167.625
1832402.453,3642056.922,815348.625,1045616.406
1369901,2825659.438,9143497.813,9867859.438
6425099.297,6764629.5,2391247.813,2049349.813
1076364.25,1137955.5,,
118618.9063,193163.4531,2619272.063,2672044.156
10360898.94,27569874.81,72907.09375,1036854.922
3606124.916,4743037.543,17376805.67,16980406.28
,,2541190.5,3345850
3685644.82,5627659.078,31638682.75,28708455.25
2385110.694,2773663.228,18578774.88,19764122.88
49860.60938,51969.45703,283841.2188,340292.875
64460640.68,77421456.29,767215691.3,825231756.6
197809.4844,406988.9375,3792009.188,3588416.125
1124539.25,1437995.125,,147102.5781
1571220.625,462168.4375,3632405.969,4673892.516
7812430.969,10759923.5,34804126.03,45918560.59
256324.5,583997.8125,200178.0938,
,,307805.375,400564.625
62614319.27,81894846.07,166083144.5,168683061.5
11142922.32,12554337.5,7879749.438,6697693.813
3392017.693,4771909.938,153176.7969,2217092.344
21720.83203,20771.57617,393400.4375,432853.2813
1758754.945,1911410.656,2303051.875,2138774.188
6020981,6959907.5,2246906.313,2572613.563
,,805507.375,982844.6563
7875865.5,8686988.75,761522.9844,821084.0156
23390601.91,41083466.88,13964299.46,11774644.86
21694164.75,37218839.19,72388931.93,66220565.46
1270371.613,1666079.57,33793782.75,33853448.38
4577143.59,7160640.836,67092322.39,71678816.6
4006822.188,5030310.563,318499.0938,369374.9063
6931160.91,10489106.21,32906165.05,32118477.98
7139068.465,13854270.76,48892972.06,53664102.65
740962.0313,701868.375,3657993.313,4336331.406
573294.5625,1052820.375,1701120.055,1797626.625
6692333.845,11727101.55,19095738.34,18278113.88
41415960.87,47719620.95,200481322.8,220125290.1
327755.6563,455214.7813,4638997.5,4122956.5
2412449.383,3046011.486,4925483.5,5765129
2009723.375,3125270.25,2493749.398,3923940.789
16702417.52,21385193.3,126411998.8,124537786.6
46444.50391,505211.7344,14640050,17787832
35949002.56,45108973.03,5477824.844,7314039.578
7946445.781,11016617.13,18648250.06,22253189.81
214689564.6,267758622.9,1397861568,1353726149
17600097.43,19997056.86,61158794.75,60081213.88
647282.75,679268.5,4163766.75,4455301
14200143.94,17943470.78,8671670.258,10053960.28
90124.05469,24357.21484,6113179,7433708.563
3146249.25,3317915.75,5959860.063,7044165
2047738.625,2152887,1168004.25,1817227
6577513.938,7732951.25,6230461.438,7227151.75
297404.7031,541004.3281,7191063.328,6360115.5
,,4413245.5,4905377
40303.57813,27799.88672,1428353.531,1445432.188
8168197.688,12297560.75,60121.49609,77532.35352
20702165.54,32080227.67,47048081.4,48496377.52
,,,
,,,1196616.125
5101622.063,8239238.625,5334865.172,6185009.219
142299220.9,197892707.7,203096276.4,207554451.1
312332.2813,822629.125,54786.80859,101181.4766
357722.875,615682.3125,1370679.125,1661369
78786421.79,95400726.12,1041152425,1137332714
,,947451.4375,1317003
24172582.01,3870661.91,108013087.4,115203996.7
24053038.9,26844917.05,227823213,233876159
1202123.875,1384223.875,23357.9082,
3086467.063,3383285.219,27937968.5,30943192.06
9196720.797,12174477.44,30391141.19,34245954.38
9271179.781,11584549.38,4957931.695,2485230.703
817515.2031,1602049.563,14362889.75,16280099.5
22195021.21,32086775.02,70689392.41,82424024.19
1717246.25,2019895.125,,
2228961.813,2800489.875,8134412.625,9590671
5936177.16,8484911.906,40088069.08,39428917.56
720168.0625,1276373.25,477257.0938,567158.125
5825167.594,8460094.188,1699027.363,2859637.758
257699.1094,309969.375,3660343.75,4285339.125
,,348752.8438,625801.5
5394377.73,7758525.141,22586921.39,25108769.72
250943.2813,,11265046,28041499.75
644379.9844,805111.5742,7177707.563,8699457.938
104241.7891,674961.9531,24394755.44,29899881.41
9717090.246,12017663.12,49404221.25,51847948
,1223261.25,1700190.375,1853471.125
19479418.7,20312569.89,17672506.66,22819357.69
,,1173286.375,1235286.375
1432408.75,1614698.25,183784.7344,186512.6094
22326476.3,33327460.31,4331384.875,3887269.344
7457563.742,12063199.08,40438621.44,45528851.03
17079.66602,,3676740.063,5043807.25
5402482.875,6164811.688,15410298,15397598.88
6296519.25,9340799.75,32019.90625,1040693.65
,,284343.8125,365566.3125
18579240.11,31494280.02,22708455.38,21429312.88
41040201.25,52028140.25,11976643.07,13340707.67
2318714,2794183.5,3147246,3666368.5
4793385.148,6424156.871,19563492.25,24204989.75
2535186.25,2052677.375,1214410.5,1228912.25
24314888.16,34153584.81,10576540.69,13670490.62
1593337.875,3705364.5,267453.125,
,192271.4531,5755818.281,6582747.813
1645883.016,2430671.395,6740172.625,7585540.125
249799.3438,312848.9063,3887241.063,3486244.188
24109151.23,33858123.05,80694762.54,88097078.66
733610.75,1332802.156,1068726.688,1243971.637
,,494016.9063,687787.9375
4977871.346,6300890.059,2243670.75,3002885.844
7560648.125,8402230.5,4588983,4507995.25
1031040.563,1057429.004,5774578.875,6053133.25
54546.71875,68879.03125,1415927.375,1769306.813
,,,
,,283932,212802.2188
1787181.125,1470846.375,,
2240182,2851078.75,6047730.5,7075911.688
105906119.3,126311900.8,27089693.64,25887707.39
697842.9609,1335319.398,827156.1875,1025676.953
284603787.8,365211179.3,1021403833,1120024407
3548656.5,3679790,10641078.95,11850831.22
2127888.977,3357629.031,37738084.5,40500332
3404510.508,4263044.406,30391355.25,32194399.25
25451076.48,31873380.09,125796575.5,118792855.3
5212673.438,10564510.31,25952076.38,28582685.13
15024232.11,18759640.77,70950634.19,76113862.16
13201034.47,18662702.21,41856196.43,42604764.81
,,3777765.5,4090491
22013567.31,24646857.31,32931178.11,35291811.28
4097713,6535247,22597434.5,24225652.75
16470630.94,19733974.34,24553534.5,32464228.25
7516180.891,11156153.55,18330152.02,18631815.78
,278420.7188,42812690.5,48922685.75
5029731.516,6341798.582,33445590.67,38434004.13
885052.4824,857326.1484,6445633.313,7663315.375
5201042.5,7072497.5,,124533.7344
7384561.109,6521728.264,24503895.44,28689914.22
43513880.15,57694084.99,397003272,414516328.6
18197211.87,26071441.13,128588537.7,136064763.2
22166685.73,24748014.48,174924666.4,182634695.4
20437773.43,23047334.13,117032663.8,124846298.3
14606625.26,18122549.24,106528669.1,112578520.5
4578931.699,8198076.125,43080227.66,48715804.03
5939003.625,6415393,11695133.75,18471214
111733153.9,152524640.2,39985408.94,42435415.69
5837366.5,8649760.875,2799156,3243761.5
,,515664.3438,562536.8125
12421854.61,17638254.44,49713353.94,54946497
105204.125,691101.4063,5610271.813,5874352.375
15024066.78,17922137.25,31809576.95,30344263.13
2928561,5143782,391875.5625,
1161262,1457329.75,2060372.875,1414849.375
,26298.03906,7359312.875,9274575.5
468545.4688,745092.625,2673994.438,2497671.813
1088128.25,1574887,10413232.66,10579415.59
4173020.196,4917513.509,19601786.38,23369830.66
3277677.125,4477663.313,48601724.31,53033003.19
1100040.5,2484403,6685614.5,7669439.375
,,1169378.563,1502487.719
,,2679062,2673949.25
,,,
6354607.422,7601860.48,39090295.56,43873787.25
2697208.131,2249720.475,15532815.09,15898528.56
6578538.094,8058641.977,52641029.42,51209956.56
1242783.563,2758049.693,15772116.19,18320849.73
18304.46094,30346.03516,9536648.5,8990652.25
438254.2031,551551.375,2453390.938,2844196.625
,,1274404.375,1254467.5
21777.49023,13880.54492,447770.25,487366.625
913624.75,939771.4375,1765194.25,2282135.5
6103394.351,7387209.913,118946938.4,124083714.4
138023.3125,217838.6563,3067693.313,3666059.25
4968708.154,8722268.047,19899196.09,24281198.75
10517166.66,12614209.5,31254033.63,33868756
2922229.094,5290673.688,12064212.58,15808570.98
1682637.906,2732800.281,18486942.47,18579456.63
6202679.607,7847356.875,45409941.1,45655923.52
39067.375,,2862776.891,2914675.094
2935280.438,3751702.625,9500790.5,8767433.438
7252885.781,9950637.688,15936290.05,17732272.59
15718903.2,19069929.78,28454259,30790709.63
,,632750.25,840033.1875
1188537.156,2506515.5,3547500.875,4129147
94202038.38,116960644.6,6324480.754,5467470.855
11752465.25,14296161.25,541933,323733.9688
23479131.92,32975073.01,18066239.87,17582375.12
3030790.25,4960660,816077.9375,3096874
4187324.094,5640077.172,4081685.781,4476178.297
3108686.875,4644029.375,560916.4199,562490.375
500795,677862.625,523716.0313,535648.875
607388411.4,682568116.3,259585884.2,278754304.6
82130987.24,98232658.11,44540810.28,51585606.67
5979611.25,7013087.375,4793524.563,4028917.531
463944.9063,144546.6094,844487.125,831691.5
62365612.47,64573000.2,94832467.07,104107077.2
2076066.734,2852917.813,1920613.219,2377690.828
3952864.875,5476482,3234107.375,1911994.625
19806163.89,23551633.72,23639826.57,25639722.79
1916549,2302372.5,8132729.5,9542299
,,2186467.75,
20235213.34,24611077.53,67844821.81,68540909.53
1463923.719,1147432.75,7955827.938,7466272.875
617329.125,1030529.938,11059980.75,11636982.31
,249176.4531,3095409.438,3276445.313
2805950.572,2713951.504,14870809.19,16646975.19
42898818.78,72907615.77,13312773.81,13541467.14
682418.6094,893240.5,3188321.688,3412595.375
233856.5313,347155.0938,996321.5938,1121788.813
2346285.313,2352906.375,2731822.047,2148299.273
2399888.25,3048351,1062760,1201737.5
,,,
229552.4688,409679.0938,,
2433572.188,2714041.25,4950161.125,6793408.5
345013.5313,788508.25,2231830.938,2857002.063
2903080.188,3870619.344,5883168.25,7230404.25
,,148255.9375,154112.375
4029355.75,6854668.75,1648741.25,
11428391.25,16236121.25,2194223,2293789.5
1372338.156,1893213.188,420014.8438,478987.2148
169270.7813,138539.3594,238704.4688,253721.8594
1836592.367,149800.6406,9092728.313,9597475.063
,,2267981,2457114.25
53745002.49,75864299.18,114278191.5,128868023.7
11307714.22,16751346.17,28450576.09,30415022.13
24256545.75,31680760,9398001.75,8830637.063
3944113.625,4935995.5,101598.8203,
,,202811.6719,227830.0938
1595396.75,1902902.875,2403698.75,2731640.25
1501230.813,2176348.223,23248197.53,22101298.13
73424898.53,88243218.25,12291739.36,18282533.92
81182396.11,108410260.2,12995885.01,15721964.67
20579772,23669850,1146291.75,1424186.125
4229433.5,3588304.25,,
10009923.22,12815463.38,1263866,336716.4063
3880850,4954938,,420640.125
80125393.94,94617521,36048212.65,36211544.17
68388813.41,103498197.3,4933644.299,5519809.482
44872871.31,76154860.47,1300676.277,1392309.852
42680555.25,53826013.25,1985040.938,2304868.141
26498442.38,38770510.75,3709499.156,4456150.586
742550.1875,668548.9375,1130805.75,1297110.625
6347768.773,8423633.125,4277620.859,4390074.031
95424788.9,138839209.6,1421356807,1486661675
313911.0625,,52340123.19,66800736.63
3921011.473,5968510.402,54831917.89,65714999.52
,,2681415.063,3646842.563
,,870198.4375,775367.0625
69451.34375,93073.49512,2838027.375,3054187.125
5992190.977,7203402.199,33806124.48,38553036.81
929453.4375,2046002.133,9800096.875,9183653.125
10372948.72,9762882.688,95277000.14,111504788.2
25440248.16,35242241.11,30549322.67,33978244.52
12466353.25,17473438,6421128.406,6665138.906
96436.92188,177885.0313,1716458.625,1977937.75
1407610.875,1626775.75,,
,,,
3167752.305,4309596.359,5065300.75,5407328.438
360769955.5,461907075.2,645203372.9,689138034.2
,,662169.5625,877219.4375
,,809165.9375,1289109.875
31685377.53,45183385.1,145215058.1,145657944.1
8604781.355,9204793.031,32439861.49,37084185.25
143649.375,195958.8438,,
3765221,5684938.719,35772389.56,40796479.59
24453690.77,22675676,3937666.197,4386270.125
906007.9336,2045911.266,20144761.94,19273790.06
8317962,11300170.7,4743598.094,4811859.156
1498038.75,2106517.25,348172.125,532700.3125
1148919,1422943.375,2192459.5,330740.8438
24769866.94,33196038.69,16190642.27,18148516.79
3349296.469,4912095.906,58646918.88,69096620.88
3858341.559,4735981.504,10111624.48,12651490.11
285447923.1,367009623,1109420638,1200823758
,,4505226.813,6450678.375
58175.78125,116209.6641,1206262,1347852.75
82005.15625,,268405.9375,357436.125
2394300.078,3743183.944,17277231.94,19609512.97
3338495.5,3835791.125,4795813.25,4436723.5
19319574.16,26816958.13,7036396.406,8227557.469
401488.0938,595221.25,,
64685326.73,79704104.63,5219752.1,7047286.346
204637.9063,359468.5938,772418.5,799640.9375
361052.9375,707021.25,5162969,7302657.5
983597.4375,1610631.5,,
231607.0625,339565.75,426509.375,316574.25
1101027.5,661741.625,,1452414.375
,,171424.5156,197796.2656
2068184,1546979.125,30068178.98,32074876.3
32459467.41,42498477.91,5000040.641,4752002.094
1026027.875,1387501.25,,805631.6094
3309469,4137099,982749.75,896067.375
897194.8213,905420.5264,2742394.625,3001895.75
,,1425571.875,1833764.813
9402195.402,9464713.477,126346252.5,138886831.4
7166258.938,10378940.48,29990662.75,33213493
,,,
1393706.625,2185025.25,375115.375,
47463983.03,59660188.09,7313393.883,6914880.461
18370963.82,21590311.38,9473970.141,11470479.73
1702246.625,2779721,,463119.5938
